rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.9689840320,bet_pct=0.971; pr_pct=0.985; volume_pct=0.999; tx_pct=0.998; prev_day=0.821; temporal=0.820
2,100000006866783100,coordinator,0.9626594307,bet_pct=0.996; pr_pct=0.938; volume_pct=0.993; tx_pct=0.998; prev_day=0.756; temporal=0.754
3,100000003016635100,coordinator,0.9586739270,bet_pct=0.997; pr_pct=0.963; volume_pct=0.998; tx_pct=1.000; prev_day=0.656; temporal=0.655
4,100000008603629100,coordinator,0.9514273386,bet_pct=0.992; pr_pct=0.963; volume_pct=0.997; tx_pct=0.998; prev_day=0.608; temporal=0.607
5,100000004156082100,coordinator,0.9465770912,bet_pct=0.966; pr_pct=0.938; volume_pct=0.981; tx_pct=0.985; prev_day=0.759; temporal=0.747
6,100000002957787100,coordinator,0.9249335775,bet_pct=0.989; pr_pct=0.888; volume_pct=0.945; tx_pct=0.992; prev_day=0.610; temporal=0.605
7,100000000343175100,coordinator,0.9248930049,bet_pct=0.939; pr_pct=0.914; volume_pct=0.989; tx_pct=0.991; prev_day=0.636; temporal=0.631
8,100000000437046100,coordinator,0.9084117218,bet_pct=0.969; pr_pct=0.927; volume_pct=0.998; tx_pct=0.996; prev_day=0.315; temporal=0.314
9,100000008346837100,coordinator,0.9075344892,bet_pct=0.999; pr_pct=0.842; volume_pct=0.952; tx_pct=0.986; prev_day=0.462; temporal=0.455
10,100000005933757100,coordinator,0.9043145924,bet_pct=0.987; pr_pct=0.952; volume_pct=0.990; tx_pct=0.993; prev_day=0.196; temporal=0.194
11,100000000331309100,coordinator,0.8986248273,bet_pct=0.991; pr_pct=0.939; volume_pct=1.000; tx_pct=0.999; prev_day=0.111; temporal=0.111
12,100000008477350100,coordinator,0.8947153532,bet_pct=0.977; pr_pct=0.953; volume_pct=0.988; tx_pct=0.994; prev_day=0.136; temporal=0.136
13,100000004403675100,coordinator,0.8942452318,bet_pct=0.982; pr_pct=0.919; volume_pct=0.839; tx_pct=0.936; prev_day=0.667; temporal=0.624
14,100000008686313100,coordinator,0.8923924950,bet_pct=0.961; pr_pct=0.752; volume_pct=0.975; tx_pct=0.979; prev_day=0.538; temporal=0.527
15,100000008748914100,coordinator,0.8900737371,bet_pct=0.911; pr_pct=0.926; volume_pct=0.992; tx_pct=0.980; prev_day=0.381; temporal=0.373
16,100000005704413100,coordinator,0.8859757343,bet_pct=0.979; pr_pct=0.882; volume_pct=0.950; tx_pct=0.987; prev_day=0.257; temporal=0.254
17,100000003701161100,coordinator,0.8815835208,bet_pct=0.841; pr_pct=0.977; volume_pct=0.967; tx_pct=0.962; prev_day=0.571; temporal=0.550
18,100000001857829100,coordinator,0.8798850815,bet_pct=0.959; pr_pct=0.890; volume_pct=0.985; tx_pct=0.975; prev_day=0.188; temporal=0.183
19,100000000661912100,coordinator,0.8729464428,bet_pct=0.949; pr_pct=0.979; volume_pct=0.910; tx_pct=0.950; prev_day=0.250; temporal=0.237
20,100000008413748100,distributor,0.8685738403,bet_pct=0.909; pr_pct=0.690; volume_pct=0.948; tx_pct=0.969; prev_day=0.667; temporal=0.646
21,100000008418835100,coordinator,0.8634891465,bet_pct=0.877; pr_pct=0.791; volume_pct=0.954; tx_pct=0.996; prev_day=0.500; temporal=0.498
22,100000008165763100,coordinator,0.8623220468,bet_pct=0.887; pr_pct=0.946; volume_pct=0.976; tx_pct=0.988; prev_day=0.176; temporal=0.174
23,100000008489922100,distributor,0.8613641791,bet_pct=0.927; pr_pct=0.876; volume_pct=0.989; tx_pct=0.990; prev_day=0.098; temporal=0.097
24,100000004400305100,distributor,0.8613008136,bet_pct=0.981; pr_pct=0.684; volume_pct=0.997; tx_pct=0.997; prev_day=0.168; temporal=0.168
25,100000008512552100,coordinator,0.8581548399,bet_pct=0.894; pr_pct=0.724; volume_pct=0.959; tx_pct=0.962; prev_day=0.545; temporal=0.525
26,100000008547948100,distributor,0.8577905967,bet_pct=0.941; pr_pct=0.730; volume_pct=0.995; tx_pct=0.986; prev_day=0.226; temporal=0.223
27,100000003115284100,consolidator,0.8574520795,bet_pct=0.784; pr_pct=0.974; volume_pct=0.981; tx_pct=0.959; prev_day=0.500; temporal=0.479
28,100000005782781100,coordinator,0.8526645765,bet_pct=0.907; pr_pct=0.767; volume_pct=0.949; tx_pct=0.962; prev_day=0.400; temporal=0.385
29,100000005910114100,coordinator,0.8510787688,bet_pct=0.994; pr_pct=0.649; volume_pct=0.962; tx_pct=0.995; prev_day=0.161; temporal=0.160
30,100000002217161100,coordinator,0.8507154513,bet_pct=0.811; pr_pct=0.943; volume_pct=0.947; tx_pct=0.983; prev_day=0.421; temporal=0.414
