gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,truncated_by_depth,pass_through_defined,active_days,activity_span_days,out_after_prior_day_in_tx,prior_day_in_fraction,betweenness,betweenness_pct,pagerank_pct,score_consolidator,score_transit,score_distributor,score_terminal,score_coordinator,score_peripheral,volume_pct,tx_pct,temporal_priority
100000000011452100,consolidator,0.7462885313,0,0.4632685393,in_deg=3; out_deg=1; in=110000; out=16685 KZT; tx=7/2; role_score=0.746; depth=1; truncated=0; is_seed=0,1,False,3,1,110000.0000000000,16685.0000000000,7,2,0.0004872452,0.1516818182,False,True,7,23,0,0.0000000000,0.0000033685,0.1686143573,0.7697953737,0.7462885313,0.1845358184,0.0000000000,0.7235315771,0.3489686622,0.2537114687,0.6193360251,0.8930013459,0.0000000000
100000000018102100,peripheral,1.0000000000,0,0.1304054978,in_deg=1; out_deg=0; in=7000; out=0 KZT; tx=1/0; role_score=1.000; depth=4; truncated=1; is_seed=0,4,False,1,0,7000.0000000000,0.0000000000,1,0,0.0003186367,0.0000000000,True,True,1,1,0,0.0000000000,0.0000000000,0.0000000000,0.5442615658,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0374607447,0.2626738448,0.0000000000
100000000031787100,transit,0.5162584054,1,0.4399607240,in_deg=1; out_deg=2; in=90000; out=90000 KZT; tx=2/4; out/in=1; prev_day=0.250; depth=2; truncated=0; is_seed=0,2,False,1,2,90000.0000000000,90000.0000000000,2,4,0.0004288721,1.0000000000,False,True,6,28,1,0.2500000000,0.0000003963,0.0300500835,0.7310943060,0.0000000000,0.5162584054,0.4650976625,0.0000000000,0.2403633502,0.4837415946,0.6857335128,0.8476895469,0.2119223867
100000000041368100,peripheral,0.5092928377,2,0.2843543446,in_deg=1; out_deg=0; in=160000; out=0 KZT; tx=1/0; role_score=0.509; depth=1; truncated=0; is_seed=0,1,False,1,0,160000.0000000000,0.0000000000,1,0,0.0003158158,0.0000000000,False,True,1,1,0,0.0000000000,0.0000000000,0.0000000000,0.5260231317,0.0000000000,0.0000000000,0.0000000000,0.4907071623,0.0000000000,0.5092928377,0.6641991925,0.2626738448,0.0000000000
100000000076451100,coordinator,0.8116096890,3,0.6982341850,in_deg=3; out_deg=4; in=87707; out=58000 KZT; tx=4/4; bet_pct=0.744; pr_pct=0.970; depth=2; truncated=0; is_seed=0,2,False,3,4,87707.0000000000,58000.0000000000,4,4,0.0013836360,0.6612927132,False,True,6,23,0,0.0000000000,0.0000976864,0.7437395659,0.9699733096,0.5825562319,0.4922484319,0.4743721696,0.2762424570,0.8116096890,0.1883903110,0.6399730821,0.8829071332,0.0000000000
100000000089154100,distributor,0.8496337656,0,0.6260952016,in_deg=1; out_deg=15; in=10000; out=425500 KZT; tx=1/21; role_score=0.850; depth=1; truncated=0; is_seed=0,1,False,1,15,10000.0000000000,425500.0000000000,1,21,0.0002858992,42.5500000000,False,True,10,14,0,0.0000000000,0.0001089548,0.7520868114,0.0611654804,0.0000000000,0.1811139873,0.8496337656,0.0000000000,0.5448104121,0.1503662344,0.8346792284,0.9668012562,0.0000000000
100000000190228100,coordinator,0.5848373847,4,0.4654222814,in_deg=1; out_deg=1; in=5000; out=28560 KZT; tx=1/1; bet_pct=0.461; pr_pct=0.874; depth=2; truncated=0; is_seed=0,2,False,1,1,5000.0000000000,28560.0000000000,1,1,0.0005785578,5.7120000000,False,True,2,8,0,0.0000000000,0.0000215980,0.4607679466,0.8743327402,0.0000000000,0.1522823010,0.0000000000,0.0000000000,0.5848373847,0.4151626153,0.3286227008,0.6056527591,0.0000000000
100000000201868100,peripheral,0.6568203650,5,0.4976974548,in_deg=1; out_deg=1; in=190000; out=190000 KZT; tx=1/1; role_score=0.657; depth=2; truncated=0; is_seed=0,2,False,1,1,190000.0000000000,190000.0000000000,1,1,0.0009675203,1.0000000000,False,True,2,2,1,1.0000000000,0.0000000000,0.0000000000,0.9499555160,0.0000000000,0.3431796350,0.0000000000,0.0000000000,0.0000000000,0.6568203650,0.8151637506,0.6056527591,0.6056527591
100000000254336100,consolidator,0.6206557872,0,0.4809069869,in_deg=2; out_deg=1; in=97177; out=60000 KZT; tx=2/1; role_score=0.621; depth=3; truncated=0; is_seed=0,3,False,2,1,97177.0000000000,60000.0000000000,2,1,0.0002903572,0.6174300503,False,True,2,2,1,1.0000000000,0.0000192202,0.2863105175,0.2275355872,0.6206557872,0.2449844559,0.0000000000,0.2849331040,0.2686780384,0.3793442128,0.6619560341,0.7243158367,0.7243158367
100000000267734100,distributor,0.6961255203,1,0.5800816823,in_deg=2; out_deg=7; in=180000; out=282000 KZT; tx=4/8; role_score=0.696; depth=1; truncated=0; is_seed=0,1,False,2,7,180000.0000000000,282000.0000000000,4,8,0.0005339010,1.5666666667,False,True,8,26,4,0.5000000000,0.0000035666,0.1711185309,0.8231761566,0.5115216077,0.6731681893,0.6961255203,0.0000000000,0.3667358186,0.3038744797,0.8485868102,0.9228353522,0.4614176761
