cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,278,1,31237334.2400000021,"[100000006866783100, 100000005910114100, 100000002957787100, 100000004400305100, 100000008477350100]","Observed roles: consolidator=46, distributor=14, terminal=26, coordinator=20, peripheral=172; internal=31237334.24 KZT; truncated=63. Structural grouping; requires contextual review."
1,106,4,16242879.0199999996,"[100000005782781100, 100000001616816100, 100000006788200100, 100000008721637100, 100000005514161100]","Observed roles: consolidator=17, transit=2, distributor=9, terminal=15, coordinator=5, peripheral=58; internal=16242879.02 KZT; truncated=2. Structural grouping; requires contextual review."
2,138,3,18838290.0000000000,"[100000003684369100, 100000004847758100, 100000008304139100, 100000008748914100, 100000000910216100]","Observed roles: consolidator=17, distributor=7, terminal=16, coordinator=19, peripheral=79; internal=18838290.00 KZT; truncated=6. Structural grouping; requires contextual review."
3,41,1,4209955.2799999993,"[100000004156082100, 100000004527381100, 100000005339662100, 100000000076451100, 100000008188026100]","Observed roles: consolidator=4, transit=1, terminal=4, coordinator=8, peripheral=24; internal=4209955.28 KZT; truncated=3. Structural grouping; requires contextual review."
4,104,1,21747439.5899999999,"[100000008547948100, 100000008489922100, 100000008710791100, 100000008517538100, 100000008746449100]","Observed roles: consolidator=23, distributor=8, terminal=18, coordinator=1, peripheral=54; internal=21747439.59 KZT; truncated=36. Structural grouping; requires contextual review."
5,4,0,460000.0000000000,"[100000006069103100, 100000000201868100, 100000003192220100, 100000006787636100]","Observed roles: terminal=1, coordinator=1, peripheral=2; internal=460000.00 KZT; truncated=0. Structural grouping; requires contextual review."
6,5,0,1189154.0000000000,"[100000000291906100, 100000000291908100, 100000004670388100, 100000004691350100, 100000004722630100]","Observed roles: distributor=1, terminal=1, coordinator=1, peripheral=2; internal=1189154.00 KZT; truncated=2. Structural grouping; requires contextual review."
7,53,1,2993313.0000000000,"[100000008443341100, 100000003265158100, 100000004420041100, 100000001899164100, 100000004386258100]","Observed roles: consolidator=4, distributor=2, terminal=4, coordinator=10, peripheral=33; internal=2993313.00 KZT; truncated=8. Structural grouping; requires contextual review."
8,133,0,17433528.0000000000,"[100000008603629100, 100000001857829100, 100000003246024100, 100000000661912100, 100000008121806100]","Observed roles: consolidator=13, transit=1, distributor=8, terminal=16, coordinator=11, peripheral=84; internal=17433528.00 KZT; truncated=49. Structural grouping; requires contextual review."
9,6,1,1615030.0000000000,"[100000008659445100, 100000008193577100, 100000008736940100, 100000008751429100, 100000005456919100]","Observed roles: consolidator=2, transit=1, distributor=1, terminal=1, peripheral=1; internal=1615030.00 KZT; truncated=0. Structural grouping; requires contextual review."
10,126,0,24907250.3300000019,"[100000000331309100, 100000003796063100, 100000004746397100, 100000005665181100, 100000004450649100]","Observed roles: consolidator=14, distributor=2, terminal=20, coordinator=7, peripheral=83; internal=24907250.33 KZT; truncated=35. Structural grouping; requires contextual review."
11,53,1,5947339.0000000000,"[100000000343175100, 100000003635170100, 100000008730846100, 100000003809101100, 100000003115284100]","Observed roles: consolidator=8, terminal=8, coordinator=15, peripheral=22; internal=5947339.00 KZT; truncated=7. Structural grouping; requires contextual review."
12,52,5,4171441.0000000000,"[100000008346837100, 100000008003034100, 100000005074393100, 100000008733194100, 100000006424479100]","Observed roles: consolidator=7, distributor=1, terminal=3, coordinator=8, peripheral=33; internal=4171441.00 KZT; truncated=13. Structural grouping; requires contextual review."
13,15,0,850450.0000000000,"[100000005505655100, 100000001526235100, 100000001788284100, 100000002472632100, 100000002984403100]","Observed roles: distributor=1, terminal=1, coordinator=2, peripheral=11; internal=850450.00 KZT; truncated=6. Structural grouping; requires contextual review."
14,15,0,3626010.0000000000,"[100000008461532100, 100000006704530100, 100000000791285100, 100000003069463100, 100000003470579100]","Observed roles: terminal=2, coordinator=3, peripheral=10; internal=3626010.00 KZT; truncated=6. Structural grouping; requires contextual review."
15,14,0,1605604.0000000000,"[100000007382543100, 100000003001661100, 100000008655779100, 100000008213966100, 100000000838385100]","Observed roles: consolidator=1, coordinator=4, peripheral=9; internal=1605604.00 KZT; truncated=6. Structural grouping; requires contextual review."
16,127,7,18414962.2800000012,"[100000003016635100, 100000008636603100, 100000004188160100, 100000005287097100, 100000002592567100]","Observed roles: consolidator=14, distributor=3, terminal=22, coordinator=20, peripheral=68; internal=18414962.28 KZT; truncated=6. Structural grouping; requires contextual review."
17,1,1,0.0000000000,[100000000456947100],Observed roles: peripheral=1; internal=0.00 KZT; truncated=0. Structural grouping; requires contextual review.
18,106,0,6254194.6699999999,"[100000004569484100, 100000005704413100, 100000008104567100, 100000008379273100, 100000008460102100]","Observed roles: consolidator=5, distributor=5, terminal=4, coordinator=7, peripheral=85; internal=6254194.67 KZT; truncated=56. Structural grouping; requires contextual review."
